stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07989] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07990] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07991] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07992] added dtor for sample_instance 02C88B08, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07994] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07995] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07996] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07997] added dtor for sample_instance 02C88BF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07999] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08000] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08001] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08003] added dtor for sample_instance 02C88DF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08005] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08006] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08007] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08009] added dtor for sample_instance 02C89B40, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08010] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08011] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08012] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08014] added dtor for sample_instance 02C89870, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08015] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08016] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08017] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08019] added dtor for sample_instance 02C89C30, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08020] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08022] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08023] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08024] added dtor for sample_instance 02C891E0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08026] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08028] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08029] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08030] added dtor for sample_instance 02C89D20, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08032] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08033] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08034] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08035] added dtor for sample_instance 02C890F0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08037] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08037] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08039] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08040] added dtor for sample_instance 02C89A50, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08041] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08042] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08043] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08044] added dtor for sample_instance 02C88F10, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08046] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08047] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08048] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08049] added dtor for sample_instance 02C89960, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08051] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08053] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08054] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08056] added dtor for sample_instance 02C892D0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08058] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08059] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08060] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08061] added dtor for sample_instance 02C89000, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08063] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08064] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08065] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08066] added dtor for sample_instance 02C893C0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08067] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08068] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08069] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08071] added dtor for sample_instance 02C89780, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08072] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08073] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08074] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08076] added dtor for sample_instance 02C894B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08077] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08078] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08080] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08081] added dtor for sample_instance 02C895A0, func 61DBB8F3
