stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08314] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08315] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08315] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08316] added dtor for sample_instance 02C29090, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08317] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08317] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08318] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08319] added dtor for sample_instance 02C28550, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08322] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08323] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08324] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08325] added dtor for sample_instance 02C28820, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08325] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08326] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08327] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08327] added dtor for sample_instance 02C28640, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08328] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08329] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08329] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08330] added dtor for sample_instance 02C28460, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08331] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08331] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08332] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08332] added dtor for sample_instance 02C28730, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08334] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08334] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08335] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08335] added dtor for sample_instance 02C28910, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08336] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08337] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08337] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08338] added dtor for sample_instance 02C28A00, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08339] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08339] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08340] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08342] added dtor for sample_instance 02C2B408, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08343] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08344] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08344] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08345] added dtor for sample_instance 02C2A8C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08346] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08346] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08347] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08348] added dtor for sample_instance 02C2B7C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08348] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08349] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08350] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08350] added dtor for sample_instance 02C2AE68, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08351] sample matrix:
